ACQUISITION_COST,ADDRESS_HOME_CITY,ADDRESS_HOME_COUNTRY,ADDRESS_HOME_POSTAL_CODE,ADDRESS_HOME_STATE,ADDRESS_LAST_CHANGED_DATE,ADDRESS_MAILING_CITY,ADDRESS_MAILING_COUNTRY,ADDRESS_MAILING_POSTAL_CODE,ADDRESS_MAILING_STATE,ADDRESS_WORK_CITY,ADDRESS_WORK_COUNTRY,ADDRESS_WORK_POSTAL_CODE,ADDRESS_WORK_STATE,ADVERTISING_INDICATOR,AGE_RANGE,AGGREGATION_OPT_IN_INDICATOR,ANNUAL_INCOME,ATTACHMENT_ALLOWED_INDICATOR,BIRTH_YEAR,CONTACT_PREFERENCE,CREDIT_AUTHORITY_LEVEL,CREDIT_SCORE,CREDIT_UTILIZATION,CURRENT_EMPLOYMENT_START_DATE,CUSTOMER_BEHAVIOR,CUSTOMER_ID,DATE_FIRST_ACCOUNT_OPENED,DATE_LAST_ACCOUNT_OPENED,DEATH_YEAR,DEBT_SERVICE_COVERAGE_RATIO,EDUCATION_LEVEL,EFFECTIVE_DATE,EMPLOYMENT_STATUS,FAMILY_SIZE,GENDER,GEOGRAPHIC_AREA_HOME,GEOGRAPHIC_AREA_MAILING,GEOGRAPHIC_AREA_WORK,HEAD_OF_HOUSEHOLD_INDICATOR,HOME_OWNER_INDICATOR,HOUSEHOLD_ID,IMPORTANCE_LEVEL_CODE,INFLUENCE_SCORE,INTERNET_BANKING_INDICATOR,LIFE_CYCLE_STATUS_CHANGE_REASON,LIFE_CYCLE_STATUS_CODE,LOYALTY_RATING_CODE,MARITAL_STATUS,MARKET_GROUP,METRIC_BEHAVIOR_PROFILE,METRIC_BEHAVIOR_PROFILE_2,METRIC_BEHAVIOR_PROFILE_3,METRIC_BEHAVIOR_PROFILE_4,METRIC_BEHAVIOR_PROFILE_5,METRIC_COMMUNICATION_STYLE,METRIC_FINANCIAL_KNOWLEDGE_RATING,METRIC_LATEST_TONE,METRIC_NET_PROMOTER_SCORE,METRIC_PERSONALITY_TYPE,METRIC_SATISFACTION_LEVEL,METRIC_STRENGTH_OF_RELATIONSHIP,METRIC_TECH_SAVY,MONTHLY_HOUSING_COST,MONTHLY_NET_INCOME,NUMBER_OF_DEPENDENT_ADULTS,NUMBER_OF_DEPENDENT_CHILDREN,OLDEST_DEPENDENT_ADULT_BIRTH_YEAR,OLDEST_DEPENDENT_CHILD_BIRTH_YEAR,PERSONAL_INTEREST_TOPIC_1,PERSONAL_INTEREST_TOPIC_2,PREFERRED_COMMUNICATION_FORM,PRIMARY_ADVISOR_ID,PRIMARY_ADVISOR_ORGANIZATION_ID,PRIMARY_BRANCH_PROXIMITY,PRIMARY_SPOKEN_LANGUAGE,PRIMARY_WRITTEN_LANGUAGE,PROFESSION,PURSUIT,RECORDED_VOICE_SAMPLE_ID,REFERRALS_VALUE_CODE,RELATIONSHIP_START_DATE,RETIREMENT_AGE,SATISFACTION_RATING_FROM_SURVEY,SECONDARY_ADVISOR_ID,SECONDARY_ADVISOR_ORGANIZATION_ID,SPECIAL_TERMS_INDICATOR,STATUS,STATUS_DATE,STATUS_REASON,URBAN_CODE,USER_DEFINED_BOOLEAN_1,USER_DEFINED_BOOLEAN_2,USER_DEFINED_BOOLEAN_3,USER_DEFINED_BOOLEAN_4,USER_DEFINED_BOOLEAN_5,USER_DEFINED_DATE_1,USER_DEFINED_DATE_2,USER_DEFINED_DATE_3,USER_DEFINED_DATE_4,USER_DEFINED_DATE_5,USER_DEFINED_INTEGER_1,USER_DEFINED_INTEGER_2,USER_DEFINED_INTEGER_3,USER_DEFINED_INTEGER_4,USER_DEFINED_INTEGER_5,USER_DEFINED_NUMERIC_1,USER_DEFINED_NUMERIC_2,USER_DEFINED_NUMERIC_3,USER_DEFINED_NUMERIC_4,USER_DEFINED_NUMERIC_5,USER_DEFINED_STRING_1,USER_DEFINED_STRING_2,USER_DEFINED_STRING_3,USER_DEFINED_STRING_4,USER_DEFINED_STRING_5,WALLET_SHARE_PERCENTAGE,YOUNGEST_DEPENDENT_ADULT_BIRTH_YEAR,YOUNGEST_DEPENDENT_CHILD_BIRTH_YEAR
55.02699309780146,Emerald City,USA,B1Z,Indiana,2015-06-06,Emerald City,USA,B1Z,Indiana,Emerald City,USA,B1Z,Indiana,True,30 to 40,True,88936.0,True,1981,phone,Medium,676.9948191352805,0.19314407141678602,2016-05-30,Moderate,1000,2018-01-02,2018-01-02,,1.0,College,2018-01-02,Employed,3,Male,USA Indiana,USA Indiana,USA Indiana,False,TRUE,1000,Low priority,68387,True,,,83197,Married,Accumulating,,,,,,,,,,,,,,1334.04,4446.8,0,1,,,,,Email,1015,,501.56916060814996,English,English,Physician,Capital Acquisition,138826,High,2018-01-02,67,satisfied,84892,119167,True,Active,2018-01-02,,City,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
19.712714767679028,Coruscant,USA,K0K,New,2015-03-27,Coruscant,USA,K0K,New,Coruscant,USA,K0K,New,True,65 and over,True,144189.0,True,1934,none,Very High,682.2760178224406,0.48542063222933585,2016-02-02,Aggressive,1001,2017-11-29,2017-11-29,,1.0,Professional,2017-11-29,Selfemployed,1,Female,USA New Mexico,USA New Mexico,USA New Mexico,True,FALSE,1001,Normal priority,131758,False,,,80883,Divorced,Gifting,,,,,,,,,,,,,,2162.835,7209.45,0,0,,,,,Video Conference,1003,,426.05461437468733,English,English,Software Developer,Retirement Planning,90900,Very High,2017-11-29,67,very dissatisfied,139890,76403,True,Active,2017-11-29,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
81.47334649787182,Metropolis,Canada,G1K,QC,2015-01-31,Metropolis,Canada,G1K,QC,Metropolis,Canada,G1K,QC,True,55 to 65,True,127032.0,True,1954,none,Very Low,799.5671001531953,0.00339291229603003,2016-01-19,Growth,1002,2017-08-28,2017-08-28,,1.0,PhD,2017-08-28,Homemaker,2,Female,Canada QC Quebec,Canada QC Quebec,Canada QC Quebec,True,FALSE,1002,High priority,72552,True,,,54611,Married,Accumulating,,,,,,,,,,,,,,1905.4799999999998,6351.599999999999,0,0,,,,,Other,1005,,201.50463787829676,English,English,Professor,Increase Net Worth,59984,Low,2017-08-28,67,very satisfied,74116,82349,True,Active,2017-08-28,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,45,,
58.943522846073016,Emerald City,USA,P0J,Nebraska,2017-10-08,Emerald City,USA,P0J,Nebraska,Emerald City,USA,P0J,Nebraska,True,65 and over,True,118908.0,True,1950,mail,Very Low,733.3563293235931,0.7101688688083914,2015-04-01,Growth,1003,2018-01-17,2018-01-17,,1.0,PhD,2018-01-17,Homemaker,2,Female,USA Nebraska,USA Nebraska,USA Nebraska,True,FALSE,1003,High priority,49482,False,,,107792,Married,Accumulating,,,,,,,,,,,,,,1783.6200000000001,5945.400000000001,0,0,,,,,Other,1016,,844.4954174268062,English,English,Professor,Increase Net Worth,136023,Low,2018-01-17,67,very satisfied,108109,71549,True,Active,2018-01-17,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
74.09166383415753,Smallville,USA,G1P,Colorado,2016-10-26,Smallville,USA,G1P,Colorado,Smallville,USA,G1P,Colorado,True,40 to 55,True,83259.0,True,1975,none,Medium,676.3984198661834,0.6987499743652646,2016-08-16,Moderate,1004,2018-01-03,2018-01-03,,1.0,College,2018-01-03,Employed,4,Male,USA Colorado,USA Colorado,USA Colorado,True,TRUE,1004,Low priority,144341,False,,,64163,Married,Accumulating,,,,,,,,,,,,,,1248.885,4162.95,0,2,,,,,Email,1005,,116.2306035381388,English,English,Accountant,Estate Planning,107992,Medium,2018-01-03,67,satisfied,132701,94079,True,Active,2018-01-03,,City,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
5.006556788437145,Zion,USA,K0K,Texas,2016-03-31,Zion,USA,K0K,Texas,Zion,USA,K0K,Texas,True,65 and over,True,122032.0,True,1937,mail,Very High,742.3504223709705,0.24560442112290726,2016-07-12,Aggressive,1005,2017-11-01,2017-11-01,,1.0,Professional,2017-11-01,Retired,1,Female,USA Texas,USA Texas,USA Texas,True,FALSE,1005,Normal priority,127817,False,,,112311,Single,Spending,,,,,,,,,,,,,,1830.4799999999998,6101.599999999999,0,0,,,,,In Person,1004,,198.25768196242905,English,English,Professor,Increase Net Worth,96450,Medium,2017-11-01,67,very satisfied,131373,45746,True,Active,2017-11-01,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
18.418417618255056,Castle Rock,USA,G1K,Louisiana,2015-10-19,Castle Rock,USA,G1K,Louisiana,Castle Rock,USA,G1K,Louisiana,True,55 to 65,True,99244.0,True,1955,none,Low,776.2994638629546,0.901826349032506,2016-05-11,Growth,1006,2017-08-03,2017-08-03,,1.0,PhD,2017-08-03,Homemaker,1,Female,USA Louisiana,USA Louisiana,USA Louisiana,True,TRUE,1006,High priority,112890,False,,,120620,Single,Accumulating,,,,,,,,,,,,,,1488.6599999999999,4962.2,0,0,,,,,Teleconference,1018,,874.1356282895987,English,English,Data Scientist,Increase Net Worth,64086,Low,2017-08-03,67,very satisfied,139823,64609,True,Active,2017-08-03,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,41,,
4.828176994837703,Riverdale,Canada,K0K,QC,2015-05-04,Riverdale,Canada,K0K,QC,Riverdale,Canada,K0K,QC,True,55 to 65,True,137960.0,True,1959,phone,Very High,757.0221479541713,0.17104363943598933,2015-08-14,Aggressive,1007,2016-12-23,2016-12-23,,1.0,University,2016-12-23,Homemaker,4,Female,Canada QC Quebec,Canada QC Quebec,Canada QC Quebec,True,FALSE,1007,High priority,142965,True,,,93422,Married,Spending,,,,,,,,,,,,,,2069.4,6898.0,0,2,,,,,In Person,1008,,373.27902090850296,English,English,Professor,Increase Net Worth,93232,Very High,2016-12-23,67,very satisfied,67461,131533,False,Active,2016-12-23,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,41,,
14.001673101726658,Star City,USA,A1Z,Florida,2017-06-11,Star City,USA,A1Z,Florida,Star City,USA,A1Z,Florida,True,23 to 30,True,65955.0,True,1993,none,Very High,785.6870042741074,0.32525554678329677,2017-08-20,Conserviti,1008,2018-02-03,2018-02-03,,1.0,High School,2018-02-03,Unemployed,3,Male,USA Florida,USA Florida,USA Florida,False,TRUE,1008,Low priority,58379,False,,,72520,Married,Starting,,,,,,,,,,,,,,989.3249999999999,3297.75,0,1,,,,,Email,1013,,25.73151816859486,English,English,Lawyer,Education Planning,69224,High,2018-02-03,67,neutral,143507,135565,True,Active,2018-02-03,,City,,,,,,,,,,,,,,,,,,,,,,,,,,66,,
74.14221190022222,Coruscant,Canada,K0K,SK,2014-02-22,Coruscant,Canada,K0K,SK,Coruscant,Canada,K0K,SK,True,55 to 65,True,101421.0,True,1960,phone,Low,684.429520179058,0.5075778148019177,2015-02-03,Growth,1009,2016-07-20,2016-07-20,,1.0,University,2016-07-20,Employed,4,Female,Canada SK Saskatchewan,Canada SK Saskatchewan,Canada SK Saskatchewan,True,TRUE,1009,High priority,66450,True,,,110010,Married,Accumulating,,,,,,,,,,,,,,1521.315,5071.05,0,2,,,,,Teleconference,1008,,766.7913403257502,English,English,Data Scientist,Estate Planning,56061,High,2016-07-20,67,satisfied,132725,136454,True,Active,2016-07-20,,City,,,,,,,,,,,,,,,,,,,,,,,,,,19,,
